Report Date: May 27, 2012							
Report Name: Production Planning						
Generated by: System User						
						
Date	Plant #	Product Line ID	Estimated Production	Date	Plant #	Product Line ID	Estimated Production
-------	-------	-------	-------	-------	-------	-------	-------
20120528	1	03	99	20120702	1	03	199
	1	04	85		1	04	185
20120529	2	04	112	20120703	2	04	82
20120530	2	03	103	20120704	2	03	93
20120601	1	05	108	20120705	1	05	68
Week 1 Total			507	Week 6 Total			627
20120604	1	03	173	20120709	1	03	73
	1	04	234	20120710	1	04	134
20120605	2	04	291	20120711	2	04	191
20120606	2	03	124	20120712	2	03	224
20120607	1	05	102		1	05	202
Week 2 Total			924	Week 7 Total			824
20120611	1	03	97	20120716	1	03	197
	1	04	193		1	04	93
20120612	2	04	102	20120717	2	04	202
20120613	2	03	82	20120718	2	03	182
20120614	1	05	96	20120719	1	05	196
Week 3 Total			570	Week 8 Total			870
20120618	1	03	199	20120723	1	03	190
20120619	1	04	142	20120724	1	04	132
	2	04	124		2	04	224
20120620	2	03	108	20120725	2	03	208
20120621	1	05	168	20120726	1	05	208
Week 4 Total			741	Week 9 Total			962
20120625	1	03	142	20120730	1	03	192
20120626	1	04	162	20120731	1	04	112
20120627	2	04	120		2	04	220
	2	03	134	20120801	2	03	234
20120628	1	05	78	20120802	1	05	178
Week 5 Total			636	Week 10 Total			936
